Time (EDT),Latitude,Longitude,Course,kts,mph,feet,Rate,Reporting Facility
Fri 09:08:17 AM,-26.2192,24.3552,↙ 220°,461,531,"36,000", Level, FlightAware ADS-B (KIM / FAKM)
Fri 09:08:50 AM,-26.2745,24.3039,↙ 220°,464,534,"36,000", Level, FlightAware ADS-B (FALI)
Fri 09:09:20 AM,-26.3235,24.2584,↙ 220°,463,533,"36,000", Level, FlightAware ADS-B (FALI)
Fri 09:09:50 AM,-26.3707,24.2146,↙ 220°,461,531,"36,000", Level, FlightAware ADS-B (FATP)
Fri 09:10:20 AM,-26.4209,24.1679,↙ 220°,461,531,"36,000", Level, FlightAware ADS-B (FATP)
Fri 09:10:50 AM,-26.4699,24.1221,↙ 220°,461,531,"36,000", Level, FlightAware ADS-B (FATP)
Fri 09:11:20 AM,-26.5187,24.0765,↙ 220°,462,532,"36,000", Level, FlightAware ADS-B (FATP)
Fri 09:11:54 AM,-26.5754,24.0236,↙ 220°,464,534,"36,000", Level, FlightAware ADS-B (KIM / FAKM)
Fri 09:12:24 AM,-26.6245,23.9776,↙ 220°,463,533,"36,000", Level, FlightAware ADS-B (KIM / FAKM)
Fri 09:12:54 AM,-26.672,23.9331,↙ 220°,461,531,"36,000", Level, FlightAware ADS-B (UTN / FAUP)
Fri 09:13:24 AM,-26.7218,23.8864,↙ 220°,459,528,"36,000", Level, FlightAware ADS-B (UTN / FAUP)
Fri 09:13:54 AM,-26.7708,23.8403,↙ 220°,459,528,"36,000", Level, FlightAware ADS-B (UTN / FAUP)
Fri 09:14:24 AM,-26.8194,23.7946,↙ 220°,459,528,"36,000", Level, FlightAware ADS-B (UTN / FAUP)
Fri 09:14:54 AM,-26.8681,23.7487,↙ 220°,458,527,"36,000", Level, FlightAware ADS-B (UTN / FAUP)
Fri 09:15:24 AM,-26.9166,23.7031,↙ 220°,457,526,"36,000", Level, FlightAware ADS-B (UTN / FAUP)
Fri 09:15:54 AM,-26.9657,23.6568,↙ 220°,456,525,"36,000", Level, FlightAware ADS-B (UTN / FAUP)
Fri 09:16:24 AM,-27.0139,23.6112,↙ 220°,456,525,"36,000",-25 Descending, FlightAware ADS-B (UTN / FAUP)
Fri 09:16:54 AM,-27.0621,23.5656,↙ 220°,456,525,"35,975",-25 Descending, FlightAware ADS-B (UTN / FAUP)
Fri 09:17:25 AM,-27.1123,23.518,↙ 220°,456,525,"35,975",24 Climbing, FlightAware ADS-B (KMH / FAKU)
Fri 09:17:56 AM,-27.1612,23.4717,↙ 220°,455,524,"36,000",49 Climbing, FlightAware ADS-B (KIM / FAKM)
Fri 09:18:26 AM,-27.2095,23.4259,↙ 220°,454,522,"36,025", Level, FlightAware ADS-B (UTN / FAUP)
Fri 09:18:56 AM,-27.2583,23.3795,↙ 220°,453,521,"36,000",-25 Descending, FlightAware ADS-B (KIM / FAKM)
Fri 09:19:26 AM,-27.3064,23.3337,↙ 220°,446,513,"36,000",-24 Descending, FlightAware ADS-B (KIM / FAKM)
Fri 09:19:59 AM,-27.3566,23.2858,↙ 220°,443,510,"35,975", Level, FlightAware ADS-B (FATP)
Fri 09:20:33 AM,-27.4097,23.2352,↙ 220°,441,507,"36,000",23 Climbing, FlightAware ADS-B (UTN / FAUP)
Fri 09:21:03 AM,-27.4563,23.1906,↙ 221°,437,503,"36,000", Level, FlightAware ADS-B (UTN / FAUP)
Fri 09:21:33 AM,-27.5024,23.1466,↙ 220°,435,501,"36,000", Level, FlightAware ADS-B (UTN / FAUP)
Fri 09:22:08 AM,-27.5564,23.095,↙ 221°,433,498,"36,000", Level, FlightAware ADS-B (UTN / FAUP)
Fri 09:22:38 AM,-27.6024,23.0509,↙ 221°,434,499,"36,000", Level, FlightAware ADS-B (UTN / FAUP)
Fri 09:23:08 AM,-27.6482,23.0069,↙ 221°,432,497,"36,000", Level, FlightAware ADS-B (UTN / FAUP)
Fri 09:23:54 AM,-27.7207,22.9419,↙ 218°,434,499,"36,000", Level, FlightAware ADS-B (FATW)
Fri 09:24:24 AM,-27.7693,22.8997,↙ 218°,433,498,"36,000", Level, FlightAware ADS-B (FATW)
Fri 09:24:57 AM,-27.8189,22.8562,↙ 218°,430,495,"36,000", Level, FlightAware ADS-B (FATP)
Fri 09:25:26 AM,-27.8671,22.8149,↙ 214°,434,499,"36,000", Level, FlightAware ADS-B (FATW)
Fri 09:25:42 AM,-27.8962,22.7979,↙ 204°,444,511,"36,000", Level, FlightAware ADS-B (FATW)
Fri 09:26:23 AM,-27.9721,22.7637,↙ 202°,448,516,"36,000", Level, FlightAware ADS-B (UTN / FAUP)
Fri 09:26:53 AM,-28.0297,22.7382,↙ 201°,449,517,"36,000", Level, FlightAware ADS-B (KIM / FAKM)
Fri 09:27:23 AM,-28.089,22.712,↙ 201°,452,520,"36,000", Level, FlightAware ADS-B (KIM / FAKM)
Fri 09:27:53 AM,-28.1481,22.686,↙ 201°,453,521,"36,000", Level, FlightAware ADS-B (UTN / FAUP)
Fri 09:28:23 AM,-28.2055,22.6609,↙ 201°,453,521,"36,000", Level, FlightAware ADS-B (KIM / FAKM)
Fri 09:28:53 AM,-28.2638,22.6328,↙ 206°,457,526,"36,000", Level, FlightAware ADS-B (FATP)
Fri 09:29:31 AM,-28.3361,22.5916,↙ 207°,461,531,"36,000", Level, FlightAware ADS-B (KIM / FAKM)
Fri 09:30:22 AM,-28.4349,22.534,↙ 208°,462,532,"36,000", Level, FlightAware ADS-B (UTN / FAUP)
Fri 09:30:52 AM,-28.4935,22.4997,↙ 207°,462,532,"36,000", Level, FlightAware ADS-B (FATW)
Fri 09:31:22 AM,-28.5509,22.4669,↙ 206°,462,532,"36,000", Level, FlightAware ADS-B (FATW)
Fri 09:31:53 AM,-28.6083,22.4348,↙ 207°,460,529,"36,000", Level, FlightAware ADS-B (KIM / FAKM)
Fri 09:32:23 AM,-28.6642,22.4021,↙ 207°,461,531,"36,000", Level, FlightAware ADS-B (UTN / FAUP)
Fri 09:32:53 AM,-28.7232,22.3674,↙ 208°,459,528,"36,000",25 Climbing, FlightAware ADS-B (FATW)
Fri 09:33:23 AM,-28.779,22.3341,↙ 207°,460,529,"36,025",-24 Descending, FlightAware ADS-B (KIM / FAKM)
Fri 09:33:55 AM,-28.8406,22.2992,↙ 208°,458,527,"35,975",24 Climbing, FlightAware ADS-B (FATW)
Fri 09:34:25 AM,-28.8963,22.2661,↙ 208°,461,531,"36,050",-28 Descending, FlightAware ADS-B (UTN / FAUP)
Fri 09:34:49 AM,-28.9393,22.2364,↙ 214°,463,533,"35,950",-83 Descending, FlightAware ADS-B (KIM / FAKM)
Fri 09:35:19 AM,-28.9879,22.1908,↙ 221°,456,525,"35,975",73 Climbing, FlightAware ADS-B (KIM / FAKM)
Fri 09:35:51 AM,-29.0385,22.1351,↙ 229°,440,506,"36,025", Level, FlightAware ADS-B (FATW)
Fri 09:36:34 AM,-29.0902,22.062,↙ 231°,441,507,"35,975",-19 Descending, FlightAware ADS-B (KIM / FAKM)
Fri 09:37:08 AM,-29.1346,21.9997,↙ 231°,438,504,"36,000",23 Climbing, FlightAware ADS-B (UTN / FAUP)
Fri 09:37:38 AM,-29.1731,21.9441,↙ 236°,429,494,"36,000", Level, FlightAware ADS-B (KIM / FAKM)
Fri 09:37:57 AM,-29.192,21.9063,↙ 243°,420,483,"36,000", Level, FlightAware ADS-B (FATW)
Fri 09:38:33 AM,-29.2142,21.8332,← 251°,408,470,"36,000", Level, FlightAware ADS-B (FATW)
Fri 09:38:51 AM,-29.2273,21.7983,↙ 243°,414,476,"36,000", Level, FlightAware ADS-B (KIM / FAKM)
Fri 09:39:14 AM,-29.2522,21.7541,↙ 233°,427,491,"36,000", Level, FlightAware ADS-B (FATW)
Fri 09:39:34 AM,-29.28,21.7195,↙ 224°,446,513,"36,000", Level, FlightAware ADS-B (FATW)
Fri 09:40:04 AM,-29.3258,21.6705,↙ 223°,449,517,"36,000", Level, FlightAware ADS-B (FATW)
Fri 09:40:34 AM,-29.3705,21.6232,↙ 223°,450,518,"36,000", Level, FlightAware ADS-B (FATW)
Fri 09:41:04 AM,-29.4167,21.5744,↙ 223°,449,517,"36,000", Level, FlightAware ADS-B (FATW)
Fri 09:41:35 AM,-29.4631,21.525,↙ 223°,448,516,"36,000", Level, FlightAware ADS-B (FATW)
Fri 09:42:05 AM,-29.5086,21.4763,↙ 223°,448,516,"36,000", Level, FlightAware ADS-B (FATW)
Fri 09:42:35 AM,-29.5539,21.4279,↙ 223°,448,516,"36,000", Level, FlightAware ADS-B (FATW)
Fri 09:43:05 AM,-29.5993,21.3792,↙ 223°,446,513,"36,000", Level, FlightAware ADS-B (FATW)
Fri 09:43:35 AM,-29.6455,21.3297,↙ 223°,446,513,"36,000", Level, FlightAware ADS-B (FATW)
Fri 09:44:05 AM,-29.6905,21.2815,↙ 223°,446,513,"36,000", Level, FlightAware ADS-B (FATW)
Fri 09:44:36 AM,-29.7357,21.2329,↙ 223°,447,514,"36,000", Level, FlightAware ADS-B (UTN / FAUP)
Fri 09:45:06 AM,-29.7812,21.1841,↙ 223°,449,517,"36,000", Level, FlightAware ADS-B (UTN / FAUP)
Fri 09:45:36 AM,-29.8279,21.1338,↙ 223°,451,519,"36,000", Level, FlightAware ADS-B (FATW)
Fri 09:46:06 AM,-29.8727,21.0855,↙ 223°,453,521,"36,000", Level, FlightAware ADS-B (UTN / FAUP)
Fri 09:46:36 AM,-29.9194,21.0351,↙ 223°,454,522,"36,000", Level, FlightAware ADS-B (UTN / FAUP)
Fri 09:47:06 AM,-29.9654,20.9854,↙ 223°,456,525,"36,000", Level, FlightAware ADS-B (FATW)
Fri 09:47:36 AM,-30.0111,20.936,↙ 223°,457,526,"36,000", Level, FlightAware ADS-B (UTN / FAUP)
Fri 09:48:06 AM,-30.0588,20.8843,↙ 223°,458,527,"36,000", Level, FlightAware ADS-B (FATW)
Fri 09:48:37 AM,-30.1045,20.8348,↙ 223°,458,527,"36,000", Level, FlightAware ADS-B (UTN / FAUP)
Fri 09:49:07 AM,-30.1521,20.7831,↙ 224°,458,527,"36,000", Level, FlightAware ADS-B (FATW)
Fri 09:49:38 AM,-30.1987,20.7323,↙ 223°,457,526,"36,000", Level, FlightAware ADS-B (SDB / FALW)
Fri 09:50:08 AM,-30.2441,20.6828,↙ 223°,454,522,"36,000", Level, FlightAware ADS-B (SDB / FALW)
Fri 09:51:05 AM,-30.3319,20.5869,↙ 224°,459,528,"36,000", Level, FlightAware ADS-B (AGZ / FAAG)
Fri 09:51:35 AM,-30.3789,20.5354,↙ 223°,461,531,"36,000", Level, FlightAware ADS-B (AGZ / FAAG)
Fri 09:52:05 AM,-30.4255,20.4845,↙ 224°,463,533,"36,000", Level, FlightAware ADS-B (AGZ / FAAG)
Fri 09:52:36 AM,-30.4719,20.4336,↙ 224°,461,531,"36,000", Level, FlightAware ADS-B (AGZ / FAAG)
Fri 09:53:02 AM,-30.516,20.3897,↙ 216°,471,542,"36,000", Level, FlightAware ADS-B (AGZ / FAAG)
Fri 09:53:22 AM,-30.554,20.3643,↙ 206°,488,562,"36,000", Level, FlightAware ADS-B (SDB / FALW)
Fri 09:54:03 AM,-30.6424,20.3248,↓ 200°,497,572,"36,000", Level, FlightAware ADS-B (UTN / FAUP)
Fri 09:54:33 AM,-30.7052,20.2981,↓ 200°,497,572,"36,000", Level, FlightAware ADS-B (SDB / FALW)
Fri 09:55:03 AM,-30.77,20.2706,↓ 200°,497,572,"36,000", Level, FlightAware ADS-B (AGZ / FAAG)
Fri 09:55:33 AM,-30.8355,20.2425,↓ 200°,496,571,"36,000", Level, FlightAware ADS-B (AGZ / FAAG)
Fri 09:56:03 AM,-30.8998,20.2148,↓ 200°,493,567,"36,000", Level, FlightAware ADS-B (AGZ / FAAG)
Fri 09:56:33 AM,-30.9626,20.1875,↙ 201°,487,560,"36,000", Level, FlightAware ADS-B (SDB / FALW)
Fri 09:57:03 AM,-31.025,20.1604,↙ 201°,484,557,"36,000", Level, FlightAware ADS-B (SDB / FALW)
Fri 09:57:33 AM,-31.0891,20.1324,↙ 201°,484,557,"36,000", Level, FlightAware ADS-B (UTN / FAUP)
Fri 09:58:07 AM,-31.1616,20.101,↓ 200°,484,557,"36,000", Level, FlightAware ADS-B (AGZ / FAAG)
Fri 09:58:37 AM,-31.2245,20.0737,↙ 201°,484,557,"36,000", Level, FlightAware ADS-B (AGZ / FAAG)
Fri 09:59:07 AM,-31.2877,20.0462,↙ 201°,484,557,"36,000", Level, FlightAware ADS-B (AGZ / FAAG)
Fri 09:59:37 AM,-31.3507,20.0187,↙ 201°,484,557,"36,000", Level, FlightAware ADS-B (AGZ / FAAG)
Fri 10:00:08 AM,-31.4143,19.991,↙ 201°,485,558,"36,000", Level, FlightAware ADS-B (SDB / FALW)
Fri 10:00:38 AM,-31.4777,19.9632,↙ 201°,486,559,"36,000", Level, FlightAware ADS-B (SDB / FALW)
Fri 10:01:08 AM,-31.5418,19.9351,↙ 201°,484,557,"36,000", Level, FlightAware ADS-B (SDB / FALW)
Fri 10:01:38 AM,-31.6045,19.9078,↙ 201°,481,554,"36,000", Level, FlightAware ADS-B (SDB / FALW)
Fri 10:02:09 AM,-31.6676,19.8799,↙ 201°,481,554,"36,000", Level, FlightAware ADS-B (SDB / FALW)
Fri 10:02:41 AM,-31.7325,19.8514,↙ 201°,483,556,"36,000", Level, FlightAware ADS-B (FAYP)
Fri 10:03:17 AM,-31.8094,19.8175,↙ 201°,485,558,"36,000", Level, FlightAware ADS-B (FAFK)
Fri 10:03:47 AM,-31.8729,19.7896,↙ 201°,484,557,"36,000", Level, FlightAware ADS-B (FAFK)
Fri 10:04:38 AM,-31.9813,19.7416,↙ 201°,482,555,"36,000", Level, FlightAware ADS-B (AGZ / FAAG)
Fri 10:04:57 AM,-32.0228,19.7233,↙ 202°,480,552,"36,000", Level, FlightAware ADS-B (FAFK)
Fri 10:05:28 AM,-32.0856,19.6954,↙ 202°,476,548,"36,000",-25 Descending, FlightAware ADS-B (FAFK)
Fri 10:05:56 AM,-32.1429,19.6699,↙ 202°,476,548,"35,975",-569 Descending, FlightAware ADS-B (FAFK)
Fri 10:06:26 AM,-32.205,19.6422,↙ 202°,476,548,"35,450","-1,255 Descending", FlightAware ADS-B (FAFK)
Fri 10:06:45 AM,-32.2458,19.6241,↙ 202°,475,547,"34,950","-1,346 Descending", FlightAware ADS-B (FAFK)
Fri 10:07:05 AM,-32.2868,19.6059,↙ 202°,472,543,"34,575",-988 Descending, FlightAware ADS-B (FAFK)
Fri 10:07:26 AM,-32.3246,19.5891,↙ 201°,468,539,"34,275",-788 Descending, FlightAware ADS-B (CPT / FACT)
Fri 10:07:45 AM,-32.3671,19.5701,↙ 202°,463,533,"34,050",-280 Descending, FlightAware ADS-B (FAFK)
Fri 10:08:25 AM,-32.4473,19.5347,↙ 201°,461,531,"34,000",-43 Descending, FlightAware ADS-B (FAFK)
Fri 10:08:55 AM,-32.5089,19.508,↙ 201°,463,533,"34,000",-169 Descending, FlightAware ADS-B (FAFK)
Fri 10:09:27 AM,-32.5704,19.4812,↓ 200°,464,534,"33,825","-1,065 Descending", FlightAware ADS-B (CPT / FACT)
Fri 10:09:57 AM,-32.6305,19.4552,↓ 200°,460,529,"32,900","-2,275 Descending", FlightAware ADS-B (FAYP)
Fri 10:10:27 AM,-32.6909,19.4288,↙ 201°,462,532,"31,550","-2,513 Descending", FlightAware ADS-B (SDB / FALW)
Fri 10:11:17 AM,-32.7916,19.3876,↓ 193°,456,525,"29,550","-2,400 Descending", FlightAware ADS-B (FAYP)
Fri 10:11:37 AM,-32.8333,19.3826,↓ 181°,461,531,"28,750","-2,700 Descending", FlightAware ADS-B (FAYP)
Fri 10:12:07 AM,-32.8969,19.3892,↓ 174°,466,536,"27,300","-2,525 Descending", FlightAware ADS-B (FAYP)
Fri 10:12:37 AM,-32.9601,19.3976,↓ 173°,451,519,"26,225","-1,893 Descending", FlightAware ADS-B (FAYP)
Fri 10:13:08 AM,-33.0228,19.4065,↓ 173°,428,493,"25,375","-1,992 Descending", FlightAware ADS-B (FAFK)
Fri 10:13:38 AM,-33.0809,19.4145,↓ 173°,422,486,"24,200","-2,450 Descending", FlightAware ADS-B (CPT / FACT)
Fri 10:14:08 AM,-33.1395,19.4227,↓ 173°,423,487,"22,925","-2,150 Descending", FlightAware ADS-B (CPT / FACT)
Fri 10:14:38 AM,-33.1974,19.4306,↓ 174°,415,478,"22,050","-1,745 Descending", FlightAware ADS-B (FAYP)
Fri 10:14:57 AM,-33.2323,19.4271,↓ 193°,387,445,"21,500","-1,829 Descending", FlightAware ADS-B (FAFK)
Fri 10:15:19 AM,-33.2657,19.4087,↙ 213°,355,409,"20,800","-1,902 Descending", FlightAware ADS-B (FAFK)
Fri 10:15:38 AM,-33.2879,19.383,↙ 230°,329,379,"20,200","-1,824 Descending", FlightAware ADS-B (FAYP)
Fri 10:16:10 AM,-33.317,19.3381,↙ 233°,319,367,"19,250","-1,673 Descending", FlightAware ADS-B (CPT / FACT)
Fri 10:16:30 AM,-33.3356,19.3089,↙ 233°,316,364,"18,750","-1,390 Descending", FlightAware ADS-B (FASX)
Fri 10:16:51 AM,-33.3529,19.2817,↙ 233°,315,362,"18,300","-1,353 Descending", FlightAware ADS-B (SDB / FALW)
Fri 10:17:21 AM,-33.3793,19.2405,↙ 233°,314,361,"17,600","-1,400 Descending", FlightAware ADS-B (FAFK)
Fri 10:17:51 AM,-33.4059,19.1995,↙ 231°,313,360,"16,900","-1,371 Descending", FlightAware ADS-B (CPT / FACT)
Fri 10:18:31 AM,-33.4484,19.1513,↙ 221°,313,360,"16,000","-1,333 Descending", FlightAware ADS-B (FAFK)
Fri 10:19:03 AM,-33.4826,19.1159,↙ 221°,311,358,"15,300","-1,316 Descending", FlightAware ADS-B (CPT / FACT)
Fri 10:19:20 AM,-33.5019,19.0959,↙ 222°,309,356,"14,925","-1,277 Descending", FlightAware ADS-B (FAFK)
Fri 10:19:50 AM,-33.5335,19.0633,↙ 222°,304,350,"14,300","-1,300 Descending", FlightAware ADS-B (FAFK)
Fri 10:20:20 AM,-33.5666,19.0289,↙ 222°,302,348,"13,625","-1,325 Descending", FlightAware ADS-B (FAFK)
Fri 10:20:50 AM,-33.5977,18.9967,↙ 222°,299,344,"12,975","-1,325 Descending", FlightAware ADS-B (FAFK)
Fri 10:21:20 AM,-33.628,18.9649,↙ 222°,297,342,"12,300","-1,283 Descending", FlightAware ADS-B (CPT / FACT)
Fri 10:21:59 AM,-33.6638,18.927,↙ 222°,294,338,"11,500","-1,261 Descending", FlightAware ADS-B (FAFK)
Fri 10:22:29 AM,-33.6991,18.8901,↙ 222°,291,335,"10,850","-1,300 Descending", FlightAware ADS-B (FAFK)
Fri 10:22:59 AM,-33.7293,18.8587,↙ 221°,287,330,"10,200",-972 Descending, FlightAware ADS-B (FASD)
Fri 10:23:23 AM,-33.753,18.8338,↙ 221°,275,316,"9,975",-600 Descending, FlightAware ADS-B (SDB / FALW)
Fri 10:23:39 AM,-33.7671,18.8189,↙ 222°,277,319,"9,800",-729 Descending, FlightAware ADS-B (SDB / FALW)
Fri 10:23:58 AM,-33.7875,18.7973,↙ 221°,279,321,"9,550",-630 Descending, FlightAware ADS-B (ROD / FARS)
Fri 10:24:29 AM,-33.815,18.7683,↙ 221°,264,304,"9,275",-479 Descending, FlightAware ADS-B (FAFK)
Fri 10:24:45 AM,-33.8296,18.753,↙ 222°,252,290,"9,175",-443 Descending, FlightAware ADS-B (FAYP)
Fri 10:25:13 AM,-33.8543,18.7269,↙ 223°,240,276,"8,950",-905 Descending, FlightAware ADS-B (FAFK)
Fri 10:25:43 AM,-33.8788,18.7014,↙ 219°,246,283,"8,300","-1,188 Descending", FlightAware ADS-B (CPT / FACT)
Fri 10:26:01 AM,-33.8981,18.6952,↓ 178°,255,293,"8,000","-1,000 Descending", FlightAware ADS-B (CPT / FACT)
Fri 10:26:19 AM,-33.9197,18.7018,↓ 163°,262,302,"7,700",-926 Descending, FlightAware ADS-B (SDB / FALW)
Fri 10:26:35 AM,-33.9391,18.7094,↓ 161°,265,305,"7,475",-652 Descending, FlightAware ADS-B (CPT / FACT)
Fri 10:27:05 AM,-33.9728,18.7238,↓ 160°,262,302,"7,200",-650 Descending, FlightAware ADS-B (SDB / FALW)
Fri 10:27:35 AM,-34.0065,18.7385,↓ 160°,254,292,"6,825",-825 Descending, FlightAware ADS-B (CPT / FACT)
Fri 10:28:05 AM,-34.0396,18.7532,↓ 160°,253,291,"6,375",-762 Descending, FlightAware ADS-B (FAFK)
Fri 10:28:36 AM,-34.0735,18.7681,↓ 160°,250,288,"6,050",-811 Descending, FlightAware ADS-B (CPT / FACT)
Fri 10:29:06 AM,-34.1068,18.7823,↓ 161°,253,291,"5,550",-918 Descending, FlightAware ADS-B (FAFK)
Fri 10:29:25 AM,-34.1281,18.7893,↓ 172°,249,287,"5,300",-692 Descending, FlightAware ADS-B (FAFK)
Fri 10:29:45 AM,-34.1485,18.7833,↙ 213°,229,264,"5,100",-638 Descending, FlightAware ADS-B (FAFK)
Fri 10:30:05 AM,-34.1602,18.7642,← 246°,203,234,"4,875",-583 Descending, FlightAware ADS-B (FAYP)
Fri 10:30:21 AM,-34.1655,18.748,← 248°,201,231,"4,750",-714 Descending, FlightAware ADS-B (CPT / FACT)
Fri 10:30:47 AM,-34.1746,18.7204,← 251°,198,228,"4,375",-821 Descending, FlightAware ADS-B (FAFK)
Fri 10:31:03 AM,-34.1738,18.703,← 286°,184,212,"4,175",-875 Descending, FlightAware ADS-B (CPT / FACT)
Fri 10:31:23 AM,-34.1662,18.6861,← 301°,180,207,"3,850",-964 Descending, FlightAware ADS-B (FAYP)
Fri 10:31:45 AM,-34.1566,18.6667,← 302°,177,204,"3,500",-852 Descending, FlightAware ADS-B (CPT / FACT)
Fri 10:32:07 AM,-34.1419,18.6579,↑ 345°,163,188,"3,225",-779 Descending, FlightAware ADS-B (FAYP)
Fri 10:32:37 AM,-34.1212,18.6514,↑ 345°,150,173,"2,825",-783 Descending, FlightAware ADS-B (CPT / FACT)
Fri 10:32:53 AM,-34.1112,18.6482,↑ 345°,146,168,"2,625",-783 Descending, FlightAware ADS-B (FAFK)
Fri 10:33:23 AM,-34.0908,18.6416,↑ 345°,153,176,"2,225",-721 Descending, FlightAware ADS-B (FAFK)
Fri 10:33:45 AM,-34.077,18.6372,↑ 345°,135,155,"2,000",-692 Descending, FlightAware ADS-B (CPT / FACT)
Fri 10:34:15 AM,-34.0592,18.6316,↑ 345°,132,152,"1,625",-725 Descending, FlightAware ADS-B (FAFK)
Fri 10:34:45 AM,-34.0404,18.6257,↑ 345°,143,165,"1,275",-692 Descending, FlightAware ADS-B (FAFK)
Fri 10:34:54 AM,-34.0346,18.6238,↑ 345°,142,163,"1,175",-750 Descending, Surface and Near-Surface
Fri 10:35:01 AM,-34.03,18.6223,↑ 345°,141,162,"1,075",-750 Descending, FlightAware ADS-B (CPT / FACT)
Fri 10:35:18 AM,-34.02,18.6191,↑ 345°,141,162,875,-682 Descending, FlightAware ADS-B (FAYP)
Fri 10:35:34 AM,-34.0103,18.6161,↑ 345°,139,160,700,-703 Descending, FlightAware ADS-B (FAFK)
Fri 10:35:50 AM,-34.0012,18.6132,↑ 346°,139,160,500,-750 Descending, FlightAware ADS-B (FAFK)
